ZIP Code,Latitude,Longtitude,Population,Cluster
46301,41.68687,-86.97438,578,3
46302,41.3604,-87.12645,51,3
46303,41.37198,-87.4765,16859,3
46304,41.61311,-87.04905,27204,3
46307,41.40215,-87.32693,71355,3
46310,41.18205,-87.23088,13511,3
46311,41.46846,-87.50918,23074,8
46312,41.64705,-87.45446,26363,8
46319,41.52217,-87.42091,17626,8
46320,41.60893,-87.49754,13822,8
46321,41.54704,-87.50402,23731,8
46322,41.54818,-87.45884,23794,8
46323,41.58961,-87.45323,23447,8
46324,41.58324,-87.50155,21703,8
46327,41.64048,-87.50677,10875,8
46340,41.38339,-86.76846,1330,3
46341,41.30666,-87.21962,9984,3
46342,41.51761,-87.24468,32049,3
46345,41.53032,-86.69995,77,1
46346,41.47816,-86.69332,1391,1
46347,41.30502,-87.00859,4853,3
46348,41.30981,-86.86244,1066,3
46349,41.10899,-87.42359,2866,3
46350,41.60697,-86.72157,44923,1
46356,41.26117,-87.41863,18814,3
46360,41.68739,-86.86464,43891,1
46365,41.60605,-86.54112,838,1
46368,41.5848,-87.17937,39947,3
46371,41.67683,-86.6005,3525,1
46373,41.44578,-87.46954,17741,8
46374,41.20616,-86.895,1139,3
46375,41.49162,-87.45193,23740,8
46376,41.1838,-87.47603,204,3
46377,41.19432,-87.34777,66,3
46379,41.15682,-87.4302,305,3
46381,41.17635,-87.33436,647,3
46382,41.46868,-86.76212,1932,1
46383,41.45838,-87.00156,41811,3
46385,41.46395,-87.12396,41304,3
46390,41.41677,-86.8742,3172,3
46391,41.5455,-86.91446,9369,3
46392,41.18509,-87.04948,8272,3
46393,41.5139,-87.16801,148,3
46394,41.67733,-87.50279,12117,8
46402,41.61032,-87.33297,5873,3
46403,41.60636,-87.25803,10875,3
46404,41.58475,-87.37502,16851,3
46405,41.57409,-87.26285,11547,3
46406,41.6022,-87.40804,8730,8
46407,41.57844,-87.33047,9125,3
46408,41.54468,-87.36941,15368,3
46409,41.54828,-87.32422,7050,3
46410,41.48083,-87.33293,39121,3
46532,41.41762,-86.62119,1345,1
46552,41.70731,-86.485,6693,1
46619,41.65997,-86.3532,21678,1
46628,41.72103,-86.33465,27344,1
47922,40.8762,-87.35369,1392,5
47942,40.68791,-87.4472,771,5
47943,41.0594,-87.28006,1055,3
47948,40.77638,-87.28676,1260,5
47951,40.79049,-87.4435,2325,5
47963,40.96811,-87.44371,2405,5
47964,40.9523,-87.2996,85,5
47978,40.97991,-87.1163,9954,3
49022,42.11434,-86.3675,29985,1
49085,42.04883,-86.45923,23778,1
49101,41.94462,-86.48429,2897,1
49102,41.95194,-86.26037,1530,1
49103,41.94559,-86.37519,11136,1
49104,41.96348,-86.35877,479,1
49106,41.93452,-86.55105,5135,1
49107,41.84804,-86.41396,10534,1
49111,42.02544,-86.28621,3397,1
49113,41.80259,-86.50044,1732,1
49115,41.87537,-86.63389,110,1
49116,41.84836,-86.66637,111,1
49117,41.78028,-86.72696,3390,1
49119,41.87564,-86.54862,134,1
49120,41.83148,-86.23162,36792,1
49125,41.88698,-86.57946,2167,1
49126,42.02593,-86.36946,1430,1
49127,42.00411,-86.51597,11223,1
49128,41.81706,-86.60457,3422,1
49129,41.81699,-86.68839,602,1
53104,42.55731,-88.03416,5626,6
53105,42.66412,-88.28045,29217,6
53108,42.82043,-87.94696,2867,2
53110,42.94671,-87.86403,18087,2
53126,42.78848,-87.9966,7012,2
53128,42.52979,-88.33857,9185,6
53129,42.93795,-88.00003,14683,2
53130,42.94092,-88.04909,7699,2
53132,42.88589,-88.01063,36094,2
53139,42.68795,-88.12,2163,2
53140,42.61963,-87.82987,30078,2
53142,42.54464,-87.93765,33701,6
53143,42.56109,-87.83038,21815,6
53144,42.61991,-87.92291,26422,2
53154,42.8803,-87.90092,36286,2
53157,42.5377,-88.36855,0,6
53158,42.52418,-87.88869,17914,6
53167,42.73526,-88.22552,319,2
53168,42.57858,-88.12999,9337,6
53170,42.5519,-88.16149,2124,6
53172,42.91197,-87.86266,20678,2
53177,42.70047,-87.93474,8434,2
53179,42.5133,-88.13159,6812,6
53181,42.51711,-88.24305,7895,6
53182,42.69815,-88.04096,9498,2
53185,42.79519,-88.19313,18578,2
53192,42.51172,-88.18412,129,6
53202,43.04561,-87.89893,25850,2
53203,43.03828,-87.91603,2025,2
