Number of Small Ports,PortalLite: Total Cost,Current State: Total Cost
1,155.455,158.538
1,169.455,171.737
1,174.976,174.881
1,161.398,163.207
1,170.676,172.723
1,149.86,151.392
1,152.61,155.125
1,154.154,156.518
1,160.31,162.784
1,155.955,158.417
1,150.547,153.33
1,153.968,155.371
1,167.509,169.939
1,138.644,140.714
1,146.341,148.427
2,151.839,159.822
2,161.132,169.186
2,141.504,149.646
2,138.643,145.301
2,138.792,148.208
2,147.416,156.135
2,130.153,138.393
2,148.373,155.577
2,145.758,152.993
2,138.542,145.763
2,142.943,150.702
2,152.169,163.156
2,153.021,159.147
2,151.018,156.479
2,142.937,154.415
3,147.888,154.031
3,145.879,154.974
3,168.024,173.719
3,139.256,144.074
3,151.335,157.203
3,162.581,169.68
3,151.866,159.807
3,159.072,167.417
3,137.598,144.331
3,147.896,155.184
3,142.108,150.681
3,153.79,163.789
3,144.352,150.524
3,138.523,143.716
3,138.941,145.404
4,141.865,153.147
4,140.242,145.507
4,139.449,150.209
4,146.559,155.315
4,152.79,165.102
4,148.914,159.916
4,141.21,151.973
4,134.861,144.034
4,145.967,154.633
4,151.512,166.81
4,143.251,152.685
4,137.855,145.677
4,137.072,144.849
4,145.658,156.777
4,135.918,141.828
5,158.787,172.496
5,158.384,164.332
5,128.336,136.882
5,142.431,150.823
5,133.545,141.452
5,148.98,158.956
5,137.248,141.314
5,151.159,155.249
5,141.897,146.05
5,145.379,154.526
5,154.093,164.204
5,158.882,167.3
5,158.472,164.97
5,139.369,148.829
5,138.185,151.105
6,115.953,139.037
6,131.182,156.822
6,131.986,161.124
6,131.949,165.166
6,134.444,158.521
6,127.237,149.614
6,122.998,147.304
6,120.807,143.923
6,129.869,158.367
6,135.766,166.513
6,128.92,156.131
6,107.549,124.77
6,131.177,155.361
6,122.02,147.891
6,125.358,157.301
7,111.348,142.457
7,123.902,152.112
7,122.798,152.771
7,120.813,150.957
7,133.517,173.26
7,128.706,160.059
7,109.879,136.899
7,109.567,131.965
7,105.873,138.5
7,116.68,150.061
7,112.759,141.792
7,128.062,158.968
7,135.213,172.874
7,120.867,146.356
7,115.301,141.955
