Truck : Ship Cost Ratio,PortalLite: Orders Complete,PortalLite: Total Cost,PortalLite: Cost / Order,Current State: Orders Complete,Current State: Total Cost,Current State: Cost / Order
1,323,55.624,0.172210526,327,30.018,0.091798165
1,330,57.339,0.173754545,335,30.164,0.090041791
1,298,56.663,0.190144295,303,29.446,0.097181518
1,346,58.35,0.168641618,353,32.538,0.092175637
1,309,55.525,0.179692557,313,27.923,0.089210863
1,293,55.245,0.188549488,303,29.32,0.096765677
1,327,57.645,0.176284404,332,31.901,0.096087349
1,299,52.342,0.175056856,302,27.15,0.089900662
1,326,53.548,0.164257669,331,29.524,0.089196375
1,360,59.853,0.166258333,363,33.382,0.091961433
1,312,53.445,0.171298077,317,28.456,0.089766562
1,330,56.385,0.170863636,337,30.688,0.091062315
1,335,55.968,0.167068657,337,29.287,0.086905045
1,304,51.185,0.168371711,307,27.749,0.090387622
1,294,54.469,0.185268707,300,28.561,0.095203333
1.5,330,68.559,0.207754545,342,48.825,0.142763158
1.5,322,65.192,0.202459627,330,45.862,0.138975758
1.5,284,54.275,0.191109155,288,39.316,0.136513889
1.5,335,67.486,0.201450746,343,48.552,0.14155102
1.5,323,61.463,0.190287926,330,44.24,0.134060606
1.5,330,62.247,0.188627273,338,45.239,0.133843195
1.5,364,69.013,0.189596154,369,50.553,0.137
1.5,296,56.452,0.190716216,303,40.699,0.134320132
1.5,356,69.375,0.194873596,364,50.741,0.139398352
1.5,314,61.832,0.196917197,318,44.295,0.139292453
1.5,288,60.936,0.211583333,300,43.364,0.144546667
1.5,304,58.826,0.193506579,306,41.877,0.136852941
1.5,348,69.911,0.200893678,358,51.611,0.144164804
1.5,329,64.884,0.197215805,332,46.096,0.138843373
1.5,343,69.786,0.203457726,348,50.282,0.144488506
2,304,66.179,0.217694079,310,55.424,0.178787097
2,337,77.405,0.229688427,344,62.421,0.181456395
2,315,70.148,0.222692063,325,60.735,0.186876923
2,346,75.555,0.218367052,357,65.556,0.183630252
2,337,72.087,0.213908012,342,59.943,0.17527193
2,345,75.218,0.218023188,348,62.213,0.178772989
2,314,70.766,0.225369427,321,60.08,0.187165109
2,291,63.175,0.21709622,297,52.823,0.177855219
2,332,70.664,0.212843373,336,59.542,0.177208333
2,325,72.687,0.223652308,328,60.909,0.185698171
2,331,75.502,0.228102719,333,60.748,0.182426426
2,351,76.26,0.217264957,360,66.155,0.183763889
2,299,68.07,0.227658863,303,55.847,0.184313531
2,309,72.221,0.233724919,311,58.197,0.187128617
2,330,70.4,0.213333333,341,59.951,0.175809384
2.5,323,78.52,0.243095975,330,75.609,0.229118182
2.5,356,88.081,0.247418539,366,84.911,0.231997268
2.5,317,76.531,0.241422713,320,72.515,0.226609375
2.5,334,80.381,0.240661677,340,75.542,0.222182353
2.5,353,89.744,0.254232295,356,85.727,0.24080618
2.5,324,78.816,0.243259259,333,72.899,0.218915916
2.5,324,83.317,0.257151235,331,78.944,0.238501511
2.5,342,83.486,0.244111111,353,81.767,0.231634561
2.5,323,83.259,0.257767802,329,77.281,0.234896657
2.5,336,79.103,0.235425595,337,77.055,0.228649852
2.5,333,84.414,0.253495495,343,80.452,0.234553936
2.5,299,75.271,0.251742475,304,71.75,0.236019737
2.5,281,74.768,0.266078292,289,70.479,0.243871972
2.5,340,81.98,0.241117647,344,78.434,0.228005814
2.5,296,75.428,0.254824324,303,69.502,0.229379538
3,336,89.339,0.265889881,340,91.648,0.269552941
3,349,92.293,0.264449857,355,95.113,0.267923944
3,312,84.916,0.272166667,321,86.955,0.27088785
3,341,92.125,0.27016129,357,97.366,0.272733894
3,327,89.334,0.273192661,336,92.589,0.2755625
3,305,85.33,0.279770492,311,84.598,0.272019293
3,309,85.345,0.276197411,316,87.766,0.277740506
3,295,80.957,0.274430508,302,81.606,0.270218543
3,331,90.356,0.272978852,341,92.755,0.272008798
3,315,86.075,0.273253968,318,87.185,0.274166667
3,324,90.447,0.279157407,331,92.525,0.279531722
3,321,88.675,0.276246106,325,88.166,0.27128
3,333,87.233,0.261960961,336,89.103,0.2651875
3,342,88.766,0.259549708,345,92.19,0.267217391
3,340,92.306,0.271488235,348,95.541,0.274543103
3.5,290,85.811,0.2959,296,92.705,0.313192568
3.5,288,86.43,0.300104167,291,92.861,0.319109966
3.5,313,95.41,0.304824281,314,101.151,0.322136943
3.5,358,107.439,0.300108939,364,120.628,0.331395604
3.5,307,100.434,0.32714658,313,106.695,0.340878594
3.5,327,94.58,0.289235474,333,106.723,0.320489489
3.5,331,97.425,0.294335347,346,112.52,0.325202312
3.5,346,101.162,0.292375723,354,109.695,0.309872881
3.5,302,87.836,0.290847682,315,98.835,0.313761905
3.5,321,102.662,0.319819315,330,111.044,0.33649697
3.5,329,102.935,0.31287234,337,111.38,0.330504451
3.5,324,100.451,0.310033951,330,109.498,0.331812121
3.5,322,99.054,0.307621118,325,106.185,0.326723077
3.5,330,98.114,0.297315152,338,106.416,0.314840237
3.5,303,91.489,0.301943894,314,101.909,0.324550955
4,340,110.539,0.325114706,346,128.875,0.372471098
4,311,102.446,0.32940836,317,114.666,0.361722397
4,331,105.07,0.317432024,345,126.417,0.366426087
4,300,97.39,0.324633333,301,109.35,0.363289037
4,327,108.521,0.331868502,334,123.23,0.368952096
4,311,100.57,0.323376206,316,114.18,0.361329114
4,310,99.028,0.319445161,319,113.816,0.356789969
4,325,108.909,0.335104615,334,128.499,0.384727545
4,334,107.674,0.322377246,337,122.601,0.363801187
4,351,108.034,0.307789174,357,128.015,0.358585434
4,290,97.851,0.337417241,297,110.775,0.372979798
4,340,109.348,0.321611765,350,129.083,0.368808571
4,336,107.783,0.320782738,343,127.087,0.370516035
4,322,106.135,0.329611801,327,124.376,0.38035474
4,315,106.563,0.338295238,324,121.632,0.375407407
4.5,356,119.602,0.335960674,363,146.449,0.403440771
4.5,335,110.766,0.330644776,338,131.452,0.388911243
4.5,339,114.546,0.337893805,344,140.458,0.40830814
4.5,335,113.61,0.339134328,339,138.445,0.40839233
4.5,330,116.258,0.35229697,343,145.534,0.424297376
4.5,305,109.487,0.35897377,312,130.107,0.417009615
4.5,333,113.034,0.339441441,340,139.194,0.409394118
4.5,318,109.173,0.343311321,324,132.582,0.409203704
4.5,329,114.182,0.347057751,337,141.426,0.419661721
4.5,342,112.38,0.328596491,350,142.029,0.405797143
4.5,345,115.57,0.334985507,355,145.3,0.409295775
4.5,331,111.707,0.337483384,342,138.785,0.405804094
4.5,305,107.098,0.351140984,307,130.39,0.424723127
4.5,338,114.794,0.339627219,341,138.119,0.405041056
4.5,308,108.341,0.351756494,318,132.299,0.416034591
5,327,126.839,0.38788685,331,157.989,0.477308157
5,326,124.028,0.380453988,331,154.513,0.466806647
5,318,118.801,0.37358805,326,150.705,0.462285276
5,312,121.372,0.389012821,319,150.225,0.470924765
5,344,126.259,0.367031977,357,165.998,0.464980392
5,356,135.323,0.380120787,362,173.514,0.479320442
5,333,125.731,0.377570571,340,158.944,0.467482353
5,319,115.336,0.361554859,325,144.525,0.444692308
5,322,121.332,0.376807453,327,152.305,0.465764526
5,310,118.15,0.381129032,316,145.76,0.461265823
5,319,123.214,0.386250784,327,159.133,0.48664526
5,339,133.021,0.39239233,342,164.635,0.481388889
5,317,119.125,0.375788644,320,147.532,0.4610375
5,306,120.984,0.395372549,317,153.479,0.484160883
5,328,120.984,0.368853659,334,152.132,0.45548503
5.5,309,114.813,0.371563107,313,149.732,0.478376997
5.5,323,126.785,0.39252322,331,167.827,0.507030211
5.5,343,135.925,0.396282799,349,175.285,0.502249284
5.5,351,140.456,0.400159544,353,175.104,0.496045326
5.5,331,134.872,0.407468278,337,173.504,0.514848665
5.5,327,125.585,0.384051988,329,158.247,0.480993921
5.5,337,131.21,0.389347181,346,172.908,0.499734104
5.5,330,130.149,0.394390909,336,166.4,0.495238095
5.5,330,131.881,0.399639394,340,172.658,0.507817647
5.5,306,124.992,0.408470588,308,159.263,0.517087662
5.5,320,129.622,0.40506875,327,163.931,0.501318043
5.5,301,123.61,0.410664452,310,160.192,0.516748387
5.5,315,131.629,0.417869841,320,167.048,0.522025
5.5,311,126.703,0.407405145,319,164.441,0.515489028
5.5,323,126.662,0.392142415,331,164.993,0.498468278
6,334,141.256,0.422922156,345,189.5,0.549275362
6,324,142.148,0.438728395,326,186.374,0.571699387
6,307,131.128,0.427127036,312,173.385,0.555721154
6,352,154.741,0.439605114,354,204.713,0.578285311
6,322,137.866,0.42815528,336,190.243,0.566199405
6,328,141.156,0.430353659,330,182.341,0.552548485
6,327,137,0.418960245,332,183.59,0.552981928
6,334,147.16,0.440598802,341,196.677,0.576765396
6,331,140.722,0.425141994,335,190.766,0.569450746
6,328,140.007,0.42685061,332,185.521,0.558798193
6,320,138.026,0.43133125,325,183.008,0.563101538
6,352,141.275,0.401349432,359,188.831,0.525991643
6,323,135.379,0.419130031,341,186.752,0.547659824
6,316,133.826,0.4235,321,174.745,0.544376947
6,333,146.117,0.43878979,337,186.742,0.554130564
