Demand Rate,PortalLite: Orders Delivered,Current State: Orders Delivered,
1,355,359,
1,309,313,
1,295,300,
1,328,334,
1,313,330,
2,662,685,
2,660,686,
2,604,621,
2,622,641,
2,670,688,
3,938,981,
3,950,993,
3,941,988,
3,944,973,
3,940,989,
4,1208,1293,
4,1297,1381,
4,1259,1332,
4,1165,1223,
4,1272,1329,
5,1481,1596,
5,1509,1579,
5,1477,1567,
5,1441,1539,
5,1598,1724,
6,1722,2033,
6,1755,2008,
6,1748,2000,
6,1763,2020,
6,1740,2000,
7,1724,2298,
7,1787,2248,
7,1791,2312,
7,1813,2333,
7,1795,2279,
8,1780,2652,
8,1825,2752,
8,1768,2647,
8,1790,2617,
8,1806,2617,
9,1816,3010,
9,1827,3023,
9,1833,2899,
9,1777,2889,
9,1770,2993,
10,1793,3182,
10,1786,3374,
10,1758,3309,
10,1773,3267,
10,1790,3429,
